category,title,description,expected_impact
Цифровые сервисы,Идея #1,Прототип изменения для категории цифровые сервисы.,Сокращение времени услуги на 20%
Транспорт,Идея #2,Прототип изменения для категории транспорт.,Экономия бюджета до 8 млн ₽
Культура,Идея #3,Прототип изменения для категории культура.,Сокращение времени услуги на 20%
Экология,Идея #4,Прототип изменения для категории экология.,Рост вовлечённости жителей на 15%
Цифровые сервисы,Идея #5,Прототип изменения для категории цифровые сервисы.,Сокращение времени услуги на 20%
Городская среда,Идея #6,Прототип изменения для категории городская среда.,Экономия бюджета до 8 млн ₽
Цифровые сервисы,Идея #7,Прототип изменения для категории цифровые сервисы.,Экономия бюджета до 8 млн ₽
Культура,Идея #8,Прототип изменения для категории культура.,Рост вовлечённости жителей на 15%
Цифровые сервисы,Идея #9,Прототип изменения для категории цифровые сервисы.,Рост вовлечённости жителей на 15%
Экология,Идея #10,Прототип изменения для категории экология.,Сокращение времени услуги на 20%
Культура,Идея #11,Прототип изменения для категории культура.,Рост вовлечённости жителей на 15%
Культура,Идея #12,Прототип изменения для категории культура.,Экономия бюджета до 8 млн ₽
Транспорт,Идея #13,Прототип изменения для категории транспорт.,Рост вовлечённости жителей на 15%
Культура,Идея #14,Прототип изменения для категории культура.,Экономия бюджета до 8 млн ₽
Транспорт,Идея #15,Прототип изменения для категории транспорт.,Рост вовлечённости жителей на 15%
Транспорт,Идея #16,Прототип изменения для категории транспорт.,Рост вовлечённости жителей на 15%
Городская среда,Идея #17,Прототип изменения для категории городская среда.,Экономия бюджета до 8 млн ₽
Городская среда,Идея #18,Прототип изменения для категории городская среда.,Сокращение времени услуги на 20%
Цифровые сервисы,Идея #19,Прототип изменения для категории цифровые сервисы.,Сокращение времени услуги на 20%
Цифровые сервисы,Идея #20,Прототип изменения для категории цифровые сервисы.,Рост вовлечённости жителей на 15%
Культура,Идея #21,Прототип изменения для категории культура.,Сокращение времени услуги на 20%
Транспорт,Идея #22,Прототип изменения для категории транспорт.,Сокращение времени услуги на 20%
Экология,Идея #23,Прототип изменения для категории экология.,Рост вовлечённости жителей на 15%
Транспорт,Идея #24,Прототип изменения для категории транспорт.,Рост вовлечённости жителей на 15%
Цифровые сервисы,Идея #25,Прототип изменения для категории цифровые сервисы.,Рост вовлечённости жителей на 15%
Экология,Идея #26,Прототип изменения для категории экология.,Рост вовлечённости жителей на 15%
Экология,Идея #27,Прототип изменения для категории экология.,Экономия бюджета до 8 млн ₽
Транспорт,Идея #28,Прототип изменения для категории транспорт.,Экономия бюджета до 8 млн ₽
Цифровые сервисы,Идея #29,Прототип изменения для категории цифровые сервисы.,Экономия бюджета до 8 млн ₽
Экология,Идея #30,Прототип изменения для категории экология.,Рост вовлечённости жителей на 15%
Цифровые сервисы,Идея #31,Прототип изменения для категории цифровые сервисы.,Рост вовлечённости жителей на 15%
Культура,Идея #32,Прототип изменения для категории культура.,Экономия бюджета до 8 млн ₽
Транспорт,Идея #33,Прототип изменения для категории транспорт.,Экономия бюджета до 8 млн ₽
Цифровые сервисы,Идея #34,Прототип изменения для категории цифровые сервисы.,Экономия бюджета до 8 млн ₽
Экология,Идея #35,Прототип изменения для категории экология.,Экономия бюджета до 8 млн ₽
Экология,Идея #36,Прототип изменения для категории экология.,Сокращение времени услуги на 20%
Цифровые сервисы,Идея #37,Прототип изменения для категории цифровые сервисы.,Экономия бюджета до 8 млн ₽
Транспорт,Идея #38,Прототип изменения для категории транспорт.,Рост вовлечённости жителей на 15%
Цифровые сервисы,Идея #39,Прототип изменения для категории цифровые сервисы.,Рост вовлечённости жителей на 15%
Культура,Идея #40,Прототип изменения для категории культура.,Рост вовлечённости жителей на 15%
Экология,Идея #41,Прототип изменения для категории экология.,Экономия бюджета до 8 млн ₽
Цифровые сервисы,Идея #42,Прототип изменения для категории цифровые сервисы.,Рост вовлечённости жителей на 15%
Цифровые сервисы,Идея #43,Прототип изменения для категории цифровые сервисы.,Рост вовлечённости жителей на 15%
Культура,Идея #44,Прототип изменения для категории культура.,Рост вовлечённости жителей на 15%
Транспорт,Идея #45,Прототип изменения для категории транспорт.,Экономия бюджета до 8 млн ₽
